year_film,year,ceremony,award,nominee,film,winner
2004,2005,62,Best Performance by an Actor In A Television Series - Drama,Julian McMahon,Nip/Tuck,False
2004,2005,62,Best Performance by an Actor In A Television Series - Drama,James Spader,Boston Legal,False
2004,2005,62,Best Performance by an Actress in a Television Series - Musical or Comedy,Teri Hatcher,Desperate Housewives,True
2004,2005,62,Best Performance by an Actress in a Television Series - Musical or Comedy,Marcia Cross,Desperate Housewives,False
2004,2005,62,Best Performance by an Actress in a Television Series - Musical or Comedy,Felicity Huffman,Desperate Housewives,False
2004,2005,62,Best Performance by an Actress in a Television Series - Musical or Comedy,Debra Messing,Will & Grace,False
2004,2005,62,Best Performance by an Actress in a Television Series - Musical or Comedy,Sarah Jessica Parker,Sex and The City,False
2004,2005,62,Best Performance by an Actor in a Television Series - Musical or Comedy,Jason Bateman,Arrested Development,True
2004,2005,62,Best Performance by an Actor in a Television Series - Musical or Comedy,Zach Braff,Scrubs,False
2004,2005,62,Best Performance by an Actor in a Television Series - Musical or Comedy,Larry David,Curb Your Enthusiasm,False
2004,2005,62,Best Performance by an Actor in a Television Series - Musical or Comedy,Matt LeBlanc,Joey,False
2004,2005,62,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Shalhoub,Monk,False
2004,2005,62,Best Performance by an Actor in a Television Series - Musical or Comedy,Charlie Sheen,Two and a Half Men,False
2004,2005,62,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anjelica Huston,Iron Jawed Angels,True
2004,2005,62,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Drea de Matteo,"Sopranos, The",False
2004,2005,62,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Nicollette Sheridan,Desperate Housewives,False
2004,2005,62,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Charlize Theron,The Life and Death of Peter Sellers,False
2004,2005,62,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Emily Watson,The Life and Death of Peter Sellers,False
2004,2005,62,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",William Shatner,Boston Legal,True
2004,2005,62,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Oliver Platt,Huff,False
2004,2005,62,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sean P. Hayes,Will & Grace,False
2004,2005,62,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Michael Imperioli,"Sopranos, The",False
2004,2005,62,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage,False
2005,2006,63,Best Performance by an Actress in a Motion Picture - Drama,Felicity Huffman,Transamerica,True
2005,2006,63,Best Performance by an Actress in a Motion Picture - Drama,Maria Bello,A History of Violence,False
2005,2006,63,Best Performance by an Actress in a Motion Picture - Drama,Gwyneth Paltrow,Proof,False
2005,2006,63,Best Performance by an Actress in a Motion Picture - Drama,Charlize Theron,North Country,False
2005,2006,63,Best Performance by an Actress in a Motion Picture - Drama,Ziyi Zhang,Memoirs of a Geisha,False
2005,2006,63,Best Performance by an Actor in a Motion Picture - Drama,Philip Seymour Hoffman,Capote,True
2005,2006,63,Best Performance by an Actor in a Motion Picture - Drama,Heath Ledger,Brokeback Mountain,False
2005,2006,63,Best Performance by an Actor in a Motion Picture - Drama,David Strathairn,"Good Night, and Good Luck",False
2005,2006,63,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,Cinderella Man,False
2005,2006,63,Best Performance by an Actor in a Motion Picture - Drama,Terrence Howard,Hustle & Flow,False
2005,2006,63,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Reese Witherspoon,Walk The Line,True
2005,2006,63,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Judi Dench,Mrs. Henderson Presents,False
2005,2006,63,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Keira Knightley,Pride & Prejudice,False
2005,2006,63,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Laura Linney,"Squid and the Whale, The",False
2005,2006,63,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sarah Jessica Parker,"Family Stone, The",False
2005,2006,63,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Joaquin Phoenix,Walk The Line,True
2005,2006,63,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jeff Daniels,"Squid and the Whale, The",False
2005,2006,63,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Charlie and the Chocolate Factory,False
2005,2006,63,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Nathan Lane,The Producers,False
2005,2006,63,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cillian Murphy,Breakfast On Pluto,False
2005,2006,63,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Pierce Brosnan,"Matador, The",False
2005,2006,63,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rachel Weisz,"Constant Gardener, The",True
2005,2006,63,Best Performance by an Actress in a Supporting Role in any Motion Picture,Scarlett Johansson,Match Point,False
2005,2006,63,Best Performance by an Actress in a Supporting Role in any Motion Picture,Shirley MacLaine,In Her Shoes,False
2005,2006,63,Best Performance by an Actress in a Supporting Role in any Motion Picture,Frances McDormand,North Country,False
2005,2006,63,Best Performance by an Actress in a Supporting Role in any Motion Picture,Michelle Williams,Brokeback Mountain,False
2005,2006,63,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Clooney,Syriana,True
2005,2006,63,Best Performance by an Actor in a Supporting Role in any Motion Picture,Matt Dillon,Crash,False
2005,2006,63,Best Performance by an Actor in a Supporting Role in any Motion Picture,Will Ferrell,The Producers,False
2005,2006,63,Best Performance by an Actor in a Supporting Role in any Motion Picture,Paul Giamatti,Cinderella Man,False
2005,2006,63,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bob Hoskins,Mrs. Henderson Presents,False
2005,2006,63,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,S. Epatha Merkerson,Lackawanna Blues,True
2005,2006,63,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Halle Berry,Their Eyes Were Watching God,False
2005,2006,63,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Kelly MacDonald,"Girl In The Café, The",False
2005,2006,63,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Cynthia Nixon,Warm Springs,False
2005,2006,63,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Mira Sorvino,Human Trafficking,False
2005,2006,63,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jonathan Rhys Meyers,Elvis,True
2005,2006,63,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Donald Sutherland,Human Trafficking,False
2005,2006,63,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kenneth Branagh,Warm Springs,False
2005,2006,63,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ed Harris,Empire Falls,False
2005,2006,63,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Bill Nighy,"Girl In The Café, The",False
2005,2006,63,Best Performance by an Actress In A Television Series - Drama,Geena Davis,Commander in Chief,True
2005,2006,63,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,"Closer, The",False
2005,2006,63,Best Performance by an Actress In A Television Series - Drama,Polly Walker,Rome,False
2005,2006,63,Best Performance by an Actress In A Television Series - Drama,Patricia Arquette,Medium,False
2005,2006,63,Best Performance by an Actress In A Television Series - Drama,Glenn Close,"Shield, The",False
2005,2006,63,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,True
2005,2006,63,Best Performance by an Actor In A Television Series - Drama,Patrick Dempsey,Grey's Anatomy,False
2005,2006,63,Best Performance by an Actor In A Television Series - Drama,Matthew Fox,Lost,False
2005,2006,63,Best Performance by an Actor In A Television Series - Drama,Wentworth Miller,Prison Break,False
2005,2006,63,Best Performance by an Actor In A Television Series - Drama,Kiefer Sutherland,24,False
2005,2006,63,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary-Louise Parker,Weeds,True
2005,2006,63,Best Performance by an Actress in a Television Series - Musical or Comedy,Marcia Cross,Desperate Housewives,False
2005,2006,63,Best Performance by an Actress in a Television Series - Musical or Comedy,Teri Hatcher,Desperate Housewives,False
2005,2006,63,Best Performance by an Actress in a Television Series - Musical or Comedy,Felicity Huffman,Desperate Housewives,False
2005,2006,63,Best Performance by an Actress in a Television Series - Musical or Comedy,Eva Longoria,Desperate Housewives,False
2005,2006,63,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Carell,"Office, The",True
2005,2006,63,Best Performance by an Actor in a Television Series - Musical or Comedy,Jason Lee,My Name Is Earl,False
2005,2006,63,Best Performance by an Actor in a Television Series - Musical or Comedy,Charlie Sheen,Two and a Half Men,False
2005,2006,63,Best Performance by an Actor in a Television Series - Musical or Comedy,Zach Braff,Scrubs,False
2005,2006,63,Best Performance by an Actor in a Television Series - Musical or Comedy,Larry David,Curb Your Enthusiasm,False
2005,2006,63,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sandra Oh,Grey's Anatomy,True
2005,2006,63,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joanne Woodward,Empire Falls,False
2005,2006,63,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Candice Bergen,Boston Legal,False
2005,2006,63,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Camryn Manheim,Elvis,False
2005,2006,63,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Elizabeth Perkins,Weeds,False
2005,2006,63,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Paul Newman,Empire Falls,True
2005,2006,63,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Naveen Andrews,Lost,False
2005,2006,63,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage,False
2005,2006,63,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Randy Quaid,Elvis,False
2005,2006,63,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Donald Sutherland,Commander in Chief,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Drama,Helen Mirren,"Queen, The",True
2006,2007,64,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Notes On a Scandal,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Drama,Maggie Gyllenhaal,Sherrybaby,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Little Children,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Drama,Penélope Cruz,Volver,False
2006,2007,64,Best Performance by an Actor in a Motion Picture - Drama,Forest Whitaker,"Last King of Scotland, The",True
2006,2007,64,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Blood Diamond,False
2006,2007,64,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,"Departed, The",False
2006,2007,64,Best Performance by an Actor in a Motion Picture - Drama,Peter O'Toole,Venus,False
2006,2007,64,Best Performance by an Actor in a Motion Picture - Drama,Will Smith,The Pursuit of Happyness,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,"Devil Wears Prada, The",True
2006,2007,64,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Annette Bening,Running With Scissors,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Toni Collette,Little Miss Sunshine,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Beyoncé,Dreamgirls,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Renée Zellweger,Miss Potter,False
2006,2007,64,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sacha Baron Cohen,Borat: Cultural Learnings Of America For Make Benefit Glorious Nation Of Kazakhstan,True
2006,2007,64,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,False
2006,2007,64,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Aaron Eckhart,Thank You For Smoking,False
2006,2007,64,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Chiwetel Ejiofor,Kinky Boots,False
2006,2007,64,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Will Ferrell,Stranger Than Fiction,False
2006,2007,64,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Hudson,Dreamgirls,True
2006,2007,64,Best Performance by an Actress in a Supporting Role in any Motion Picture,Adriana Barraza,Babel,False
2006,2007,64,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cate Blanchett,Notes On a Scandal,False
2006,2007,64,Best Performance by an Actress in a Supporting Role in any Motion Picture,Emily Blunt,"Devil Wears Prada, The",False
2006,2007,64,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rinko Kikuchi,Babel,False
2006,2007,64,Best Performance by an Actor in a Supporting Role in any Motion Picture,Eddie Murphy,Dreamgirls,True
2006,2007,64,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jack Nicholson,"Departed, The",False
2006,2007,64,Best Performance by an Actor in a Supporting Role in any Motion Picture,Brad Pitt,Babel,False
2006,2007,64,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mark Wahlberg,"Departed, The",False
2006,2007,64,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ben Affleck,Hollywoodland,False
2006,2007,64,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helen Mirren,Elizabeth I,True
2006,2007,64,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Annette Bening,Mrs. Harris,False
2006,2007,64,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helen Mirren,Prime Suspect: The Final Act,False
2006,2007,64,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Sophie Okonedo,"Tsunami, The Aftermath",False
2006,2007,64,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Gillian Anderson,Bleak House,False
2006,2007,64,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Bill Nighy,Gideon's Daughter,True
2006,2007,64,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Andre Braugher,Thief,False
2006,2007,64,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Robert Duvall,Broken Trail,False
2006,2007,64,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Michael Ealy,Sleeper Cell,False
2006,2007,64,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Chiwetel Ejiofor,"Tsunami, The Aftermath",False
2006,2007,64,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ben Kingsley,Mrs. Harris,False
2006,2007,64,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Matthew Perry,"Ron Clark Story, The",False
2006,2007,64,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,"Closer, The",True
2006,2007,64,Best Performance by an Actress In A Television Series - Drama,Patricia Arquette,Medium,False
2006,2007,64,Best Performance by an Actress In A Television Series - Drama,Edie Falco,"Sopranos, The",False
2006,2007,64,Best Performance by an Actress In A Television Series - Drama,Ellen Pompeo,Grey's Anatomy,False
2006,2007,64,Best Performance by an Actress In A Television Series - Drama,Evangeline Lilly,Lost,False
2006,2007,64,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,True
2006,2007,64,Best Performance by an Actor In A Television Series - Drama,Bill Paxton,Big Love,False
2006,2007,64,Best Performance by an Actor In A Television Series - Drama,Kiefer Sutherland,24,False
2006,2007,64,Best Performance by an Actor In A Television Series - Drama,Patrick Dempsey,Grey's Anatomy,False
2006,2007,64,Best Performance by an Actor In A Television Series - Drama,Michael C. Hall,Dexter,False
2006,2007,64,Best Performance by an Actress in a Television Series - Musical or Comedy,America Ferrera,Ugly Betty,True
2006,2007,64,Best Performance by an Actress in a Television Series - Musical or Comedy,Marcia Cross,Desperate Housewives,False
2006,2007,64,Best Performance by an Actress in a Television Series - Musical or Comedy,Felicity Huffman,Desperate Housewives,False
2006,2007,64,Best Performance by an Actress in a Television Series - Musical or Comedy,Julia Louis-Dreyfus,"New Adventures Of Old Christine, The",False
2006,2007,64,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary-Louise Parker,Weeds,False
2006,2007,64,Best Performance by an Actor in a Television Series - Musical or Comedy,Alec Baldwin,30 Rock,True
2006,2007,64,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Shalhoub,Monk,False
2006,2007,64,Best Performance by an Actor in a Television Series - Musical or Comedy,Zach Braff,Scrubs,False
2006,2007,64,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Carell,"Office, The",False
2006,2007,64,Best Performance by an Actor in a Television Series - Musical or Comedy,Jason Lee,My Name Is Earl,False
2006,2007,64,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Emily Blunt,Gideon's Daughter,True
2006,2007,64,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Toni Collette,"Tsunami, The Aftermath",False
2006,2007,64,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Katherine Heigl,Grey's Anatomy,False
2006,2007,64,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sarah Paulson,Studio 60 on the Sunset Strip,False
2006,2007,64,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Elizabeth Perkins,Weeds,False
2006,2007,64,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Irons,Elizabeth I,True
2006,2007,64,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Justin Kirk,Weeds,False
2006,2007,64,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Masi Oka,Heroes,False
2006,2007,64,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage,False
2006,2007,64,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Thomas Haden Church,Broken Trail,False
2007,2008,65,Best Performance by an Actress in a Motion Picture - Drama,Julie Christie,Away From Her,True
2007,2008,65,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Elizabeth:  The Golden Age,False
2007,2008,65,Best Performance by an Actress in a Motion Picture - Drama,Jodie Foster,"Brave One, The",False
2007,2008,65,Best Performance by an Actress in a Motion Picture - Drama,Angelina Jolie,"Mighty Heart, A",False
2007,2008,65,Best Performance by an Actress in a Motion Picture - Drama,Keira Knightley,Atonement,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,There Will Be Blood,True
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,American Gangster,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,George Clooney,Michael Clayton,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,James McAvoy,Atonement,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,Viggo Mortensen,Eastern Promises,False
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Marion Cotillard,La Vie En Rose,True
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Nikki Blonsky,Hairspray,False
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams,Enchanted,False
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,False
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ellen Page,Juno,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,True
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Gosling,Lars and the Real Girl,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Hanks,Charlie Wilson's War,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Philip Seymour Hoffman,"Savages, The",False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John C. Reilly,Walk Hard: The Dewey Cox Story,False
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cate Blanchett,I'm Not There,True
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julia Roberts,Charlie Wilson's War,False
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Saoirse Ronan,Atonement,False
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Amy Ryan,Gone Baby Gone,False
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Tilda Swinton,Michael Clayton,False
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,Javier Bardem,No Country for Old Men,True
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,Casey Affleck,"Assassination of Jesse James by the Coward Robert Ford, The",False
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,Philip Seymour Hoffman,Charlie Wilson's War,False
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Travolta,Hairspray,False
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Wilkinson,Michael Clayton,False
2007,2008,65,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Queen Latifah,Life Support,True
2007,2008,65,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Sissy Spacek,Pictures of Hollis Woods,False
2007,2008,65,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Ruth Wilson,Jane Eyre,False
2007,2008,65,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Bryce Dallas Howard,As You Like It,False
2007,2008,65,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Debra Messing,"Starter Wife, The",False
2007,2008,65,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jim Broadbent,Longford,True
2007,2008,65,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Adam Beach,Bury My Heart at Wounded Knee,False
2007,2008,65,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ernest Borgnine,"Grandpa for Christmas, A",False
2007,2008,65,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jason Isaacs,The State Within,False
2007,2008,65,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Nesbitt,Jekyll,False
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Glenn Close,Damages,True
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Edie Falco,"Sopranos, The",False
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Sally Field,Brothers & Sisters,False
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Holly Hunter,Saving Grace,False
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,"Closer, The",False
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Patricia Arquette,Medium,False
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Minnie Driver,"Riches, The",False
2007,2008,65,Best Performance by an Actor In A Television Series - Drama,Jon Hamm,Mad Men,True
2007,2008,65,Best Performance by an Actor In A Television Series - Drama,Michael C. Hall,Dexter,False
2007,2008,65,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,False
2007,2008,65,Best Performance by an Actor In A Television Series - Drama,Jonathan Rhys Meyers,"Tudors, The",False
2007,2008,65,Best Performance by an Actor In A Television Series - Drama,Bill Paxton,Big Love,False
2007,2008,65,Best Performance by an Actress in a Television Series - Musical or Comedy,Tina Fey,30 Rock,True
2007,2008,65,Best Performance by an Actress in a Television Series - Musical or Comedy,Christina Applegate,Samantha Who?,False
2007,2008,65,Best Performance by an Actress in a Television Series - Musical or Comedy,America Ferrera,Ugly Betty,False
2007,2008,65,Best Performance by an Actress in a Television Series - Musical or Comedy,Anna Friel,Pushing Daisies,False
2007,2008,65,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary-Louise Parker,Weeds,False
2007,2008,65,Best Performance by an Actor in a Television Series - Musical or Comedy,David Duchovny,Californication,True
2007,2008,65,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Carell,"Office, The",False
2007,2008,65,Best Performance by an Actor in a Television Series - Musical or Comedy,Ricky Gervais,Extras,False
2007,2008,65,Best Performance by an Actor in a Television Series - Musical or Comedy,Lee Pace,Pushing Daisies,False
2007,2008,65,Best Performance by an Actor in a Television Series - Musical or Comedy,Alec Baldwin,30 Rock,False
2007,2008,65,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Samantha Morton,Longford,True
2007,2008,65,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rose Byrne,Damages,False
2007,2008,65,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rachel Griffiths,Brothers & Sisters,False
2007,2008,65,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Katherine Heigl,Grey's Anatomy,False
2007,2008,65,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anna Paquin,Bury My Heart at Wounded Knee,False
2007,2008,65,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jaime Pressly,My Name Is Earl,False
2007,2008,65,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage,True
2007,2008,65,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ted Danson,Damages,False
2007,2008,65,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kevin Dillon,Entourage,False
2007,2008,65,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Andy Serkis,Longford,False
2007,2008,65,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",William Shatner,Boston Legal,False
2007,2008,65,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Donald Sutherland,Dirty Sexy Money,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Revolutionary Road,True
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,Doubt,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Anne Hathaway,Rachel Getting Married,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Angelina Jolie,Changeling,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Kristin Scott Thomas,I've Loved You So Long,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Mickey Rourke,The Wrestler,True
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Brad Pitt,The Curious Case of Benjamin Button,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Revolutionary Road,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Frank Langella,Frost/Nixon,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Sean Penn,Milk,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sally Hawkins,Happy-Go-Lucky,True
